Date,Observed JPM,Nestle Close,Predicted JPM_Nestle
02-01-2019,99.30999756,80.16999817,98.56141647437349
03-01-2019,97.11000061,82.20999908,100.10376883640032
04-01-2019,100.69000240000001,83.58999634,101.14712230899829
07-01-2019,100.7600021,82.70999908,100.48179620748292
08-01-2019,100.5699997,82.97000122,100.67837205840303
09-01-2019,100.4000015,83.73999786,101.26053166952629
10-01-2019,100.38999940000001,84.38999939,101.75196840869742
11-01-2019,99.91000366,84.51000214,101.84269705690778
14-01-2019,100.94000240000001,84.43000031,101.78221129395439
15-01-2019,101.6800003,84.69000244,101.97878713731394
16-01-2019,102.5,84.01000214,101.46466968582519
17-01-2019,102.91999820000001,84.51999664,101.85025344602836
18-01-2019,104.5899963,84.62999725,101.93341992885993
22-01-2019,102.94000240000001,84.16999817,101.58563544303429
23-01-2019,102.6800003,84.65000153,101.94854425961752
24-01-2019,102.7399979,85.12999725,102.31144729994253
25-01-2019,103.38999940000001,84.54000092,101.86537777678595
28-01-2019,103.8799973,85.30000305,102.43998099122811
29-01-2019,104.16999820000001,86.75,103.53625806140069
30-01-2019,104.4100037,87.05999756,103.77063318669832
31-01-2019,103.5,87.23999786,103.90672326710448
01-02-2019,103.8799973,86.66000366,103.46821590176617
04-02-2019,104.25,86.23000336,103.14311213581871
05-02-2019,103.79000090000001,87.26000214,103.92184759786208
06-02-2019,103.7399979,86.62000275,103.43797302406975
07-02-2019,102.3799973,86.15000153,103.08262637286532
08-02-2019,101.36000059999999,86.73999786,103.52869589602189
11-02-2019,100.8799973,86.11000061,103.05238348760835
12-02-2019,102.5999985,85.79000092,102.81044620449245
13-02-2019,103.0899963,85.80000305,102.8180083623107
14-02-2019,102.41999820000001,87.55000305,104.1411041610998
15-02-2019,105.5500031,88.81999969,105.10129114330567
19-02-2019,105.1800003,89.26000214,105.43395708219248
20-02-2019,105.6900024,90.54000092,106.40170622977715
21-02-2019,105.47000120000001,91.62999725,107.22580312401632
22-02-2019,105.0,91.04000092,106.77973360085976
25-02-2019,106.09999850000001,91.0,106.74949071560278
26-02-2019,105.29000090000001,91.09999847,106.82509503305555
27-02-2019,105.1600037,89.98000336,105.9783174189382
28-02-2019,104.36000059999999,90.33000183,106.24293542193227
01-03-2019,104.4300003,90.76000214,106.56803919544028
04-03-2019,104.19000240000001,90.94999695,106.71168567252755
05-03-2019,104.11000059999999,91.62999725,107.22580312401632
06-03-2019,103.7200012,91.22000122,106.9158236812659
07-03-2019,102.9700012,91.51000214,107.13508025206418
08-03-2019,103.0100021,91.94000244,107.46018401801165
11-03-2019,104.3499985,92.16000366,107.62651698367478
12-03-2019,104.04000090000001,92.25,107.69455914330928
13-03-2019,104.38999940000001,93.05000305,108.29940524300841
14-03-2019,105.3399963,94.09999847,109.09325925955115
15-03-2019,106.5500031,93.5,108.63962757101578
18-03-2019,107.1900024,94.31999969,109.25959222521428
19-03-2019,106.8000031,94.45999908,109.36543942792402
20-03-2019,104.51999659999998,95.09999847,109.84931400171635
21-03-2019,102.8700027,96.19999695,110.68097306889486
22-03-2019,99.76000214,94.16999817,109.14618286468628
25-03-2019,98.93000031,94.56999969,109.44860591075557
26-03-2019,99.91999817,95.73999786,110.33318857550869
27-03-2019,99.58000183,95.59999847,110.22734137279895
28-03-2019,100.70999909999999,95.52999878,110.17441777522434
29-03-2019,101.23000340000002,95.31999969,110.01564696737947
01-04-2019,104.63999940000001,94.70999908,109.55445311346531
02-04-2019,105.1399994,94.91000366,109.70566752462906
03-04-2019,105.34999850000001,95.69000244,110.29538930113114
04-04-2019,105.5599976,95.54000092,110.18197994060314
05-04-2019,105.3099976,95.59999847,110.22734137279895
08-04-2019,105.65000149999999,95.62999725,110.25002209267711
09-04-2019,104.8700027,96.69000244,111.05144404329634
10-04-2019,105.3399963,96.66000366,111.02876332341816
11-04-2019,106.2300034,96.05000305,110.56756946950401
12-04-2019,111.20999909999999,95.55000305,110.1895420984214
15-04-2019,109.9400024,94.08000183,109.07814070505178
16-04-2019,111.09999850000001,94.11000061,109.10082142492995
17-04-2019,114.3000031,94.33999634,109.27471078727419
18-04-2019,113.45999909999999,94.70999908,109.55445311346531
22-04-2019,113.59999850000001,94.77999878,109.60737671860045
23-04-2019,113.7399979,95.08999634,109.8417518438981
24-04-2019,113.5500031,95.27999878,109.98540408968304
25-04-2019,113.6100006,95.34999847,110.03832768725765
26-04-2019,114.47000120000001,95.80000305,110.3785557839627
29-04-2019,116.1200027,95.79000092,110.37099362614444
30-04-2019,116.0500031,96.52999878,110.93047251738955
01-05-2019,115.1600037,96.12000275,110.62049307463914
02-05-2019,115.4100037,95.65000153,110.26514642343471
03-05-2019,116.1200027,95.76000214,110.34831290626627
