,signal
2019-06-05 09:45:00+00:00,1
2019-06-05 10:00:00+00:00,1
2019-06-05 10:15:00+00:00,1
2019-06-05 10:30:00+00:00,1
2019-06-05 10:45:00+00:00,1
2019-06-05 11:00:00+00:00,1
2019-06-05 11:15:00+00:00,1
2019-06-05 11:30:00+00:00,1
2019-06-05 11:45:00+00:00,1
2019-06-05 12:00:00+00:00,1
2019-06-05 12:15:00+00:00,1
2019-06-05 12:30:00+00:00,1
2019-06-05 12:45:00+00:00,1
2019-06-05 13:00:00+00:00,1
2019-06-05 13:15:00+00:00,1
2019-06-05 13:30:00+00:00,1
2019-06-05 13:45:00+00:00,1
2019-06-05 14:00:00+00:00,1
2019-06-05 14:15:00+00:00,1
2019-06-05 14:30:00+00:00,1
2019-06-05 14:45:00+00:00,1
2019-06-05 15:00:00+00:00,1
2019-06-05 15:15:00+00:00,1
2019-06-05 15:30:00+00:00,1
2019-06-05 15:45:00+00:00,1
2019-06-05 16:00:00+00:00,1
2019-06-06 09:45:00+00:00,1
2019-06-06 10:00:00+00:00,1
2019-06-06 10:15:00+00:00,1
2019-06-06 10:30:00+00:00,1
2019-06-06 10:45:00+00:00,1
2019-06-06 11:00:00+00:00,1
2019-06-06 11:15:00+00:00,1
2019-06-06 11:30:00+00:00,1
2019-06-06 11:45:00+00:00,1
2019-06-06 12:00:00+00:00,1
2019-06-06 12:15:00+00:00,1
2019-06-06 12:30:00+00:00,1
2019-06-06 12:45:00+00:00,1
2019-06-06 13:00:00+00:00,1
2019-06-06 13:15:00+00:00,1
2019-06-06 13:30:00+00:00,1
2019-06-06 13:45:00+00:00,1
2019-06-06 14:00:00+00:00,1
2019-06-06 14:15:00+00:00,1
2019-06-06 14:30:00+00:00,1
2019-06-06 14:45:00+00:00,1
2019-06-06 15:00:00+00:00,1
2019-06-06 15:15:00+00:00,1
2019-06-06 15:30:00+00:00,1
2019-06-06 15:45:00+00:00,1
2019-06-06 16:00:00+00:00,1
2019-06-07 09:45:00+00:00,1
2019-06-07 10:00:00+00:00,1
2019-06-07 10:15:00+00:00,1
2019-06-07 10:30:00+00:00,1
2019-06-07 10:45:00+00:00,1
2019-06-07 11:00:00+00:00,1
2019-06-07 11:15:00+00:00,1
2019-06-07 11:30:00+00:00,1
2019-06-07 11:45:00+00:00,1
2019-06-07 12:00:00+00:00,1
2019-06-07 12:15:00+00:00,1
2019-06-07 12:30:00+00:00,1
2019-06-07 12:45:00+00:00,0
2019-06-07 13:00:00+00:00,1
2019-06-07 13:15:00+00:00,1
2019-06-07 13:30:00+00:00,1
2019-06-07 13:45:00+00:00,1
2019-06-07 14:00:00+00:00,1
2019-06-07 14:15:00+00:00,1
2019-06-07 14:30:00+00:00,1
2019-06-07 14:45:00+00:00,1
2019-06-07 15:00:00+00:00,1
2019-06-07 15:15:00+00:00,1
2019-06-07 15:30:00+00:00,0
2019-06-07 15:45:00+00:00,0
2019-06-07 16:00:00+00:00,0
2019-06-12 09:45:00+00:00,0
2019-06-12 10:00:00+00:00,0
2019-06-12 10:15:00+00:00,0
2019-06-12 10:30:00+00:00,0
2019-06-12 10:45:00+00:00,0
2019-06-12 11:00:00+00:00,0
2019-06-12 11:15:00+00:00,0
2019-06-12 11:30:00+00:00,0
2019-06-12 11:45:00+00:00,0
2019-06-12 12:00:00+00:00,0
2019-06-12 12:15:00+00:00,0
2019-06-12 12:30:00+00:00,0
2019-06-12 12:45:00+00:00,0
2019-06-12 13:00:00+00:00,0
2019-06-12 13:15:00+00:00,1
2019-06-12 13:30:00+00:00,1
2019-06-12 13:45:00+00:00,1
2019-06-12 14:00:00+00:00,1
2019-06-12 14:15:00+00:00,1
2019-06-12 14:30:00+00:00,1
2019-06-12 14:45:00+00:00,1
2019-06-12 15:00:00+00:00,1
2019-06-12 15:15:00+00:00,1
2019-06-12 15:30:00+00:00,1
2019-06-12 15:45:00+00:00,1
2019-06-12 16:00:00+00:00,1
2019-06-13 09:45:00+00:00,1
2019-06-13 10:00:00+00:00,1
2019-06-13 10:15:00+00:00,1
2019-06-13 10:30:00+00:00,1
2019-06-13 10:45:00+00:00,1
2019-06-13 11:00:00+00:00,1
2019-06-13 11:15:00+00:00,1
2019-06-13 11:30:00+00:00,1
2019-06-13 11:45:00+00:00,1
2019-06-13 12:00:00+00:00,1
2019-06-13 12:15:00+00:00,1
2019-06-13 12:30:00+00:00,1
2019-06-13 12:45:00+00:00,1
2019-06-13 13:00:00+00:00,1
2019-06-13 13:15:00+00:00,1
2019-06-13 13:30:00+00:00,1
2019-06-13 13:45:00+00:00,1
2019-06-13 14:00:00+00:00,1
2019-06-13 14:15:00+00:00,1
2019-06-13 14:30:00+00:00,1
2019-06-13 14:45:00+00:00,1
2019-06-13 15:00:00+00:00,1
2019-06-13 15:15:00+00:00,1
2019-06-13 15:30:00+00:00,1
2019-06-13 15:45:00+00:00,1
2019-06-13 16:00:00+00:00,1
2019-06-14 09:45:00+00:00,1
2019-06-14 10:00:00+00:00,1
2019-06-14 10:15:00+00:00,1
2019-06-14 10:30:00+00:00,1
2019-06-14 10:45:00+00:00,1
2019-06-14 11:00:00+00:00,1
2019-06-14 11:15:00+00:00,0
