,pct_change,pct_change2,pct_change5,rsi,adx,corr,volatility
2019-05-29 15:45:00+00:00,0.0029646099685010086,0.005759940542549247,0.0038015762633287764,48.77698859964663,18.279021087472533,0.252508848644269,0.24579786037861906
2019-05-29 16:00:00+00:00,-0.0010160724182523007,0.0019455252918287869,0.006702038536721577,47.59102398567506,18.28675904794215,0.05745397602333606,0.2428838323293852
2019-05-30 09:45:00+00:00,0.003236245954692407,0.0022168852761870195,0.008645533141210526,51.49370910249766,18.70139545346366,-0.05864144085404872,0.22360435587225544
2019-05-30 10:00:00+00:00,0.002488479262672705,0.005732778548312334,0.010497956150129939,54.22824994718195,19.084540418439925,-0.15169162681874238,0.22733009372881077
2019-05-30 10:15:00+00:00,-0.0009193711501332968,0.0015668202764977934,0.006763016490642926,53.07572104343799,19.466286266132144,-0.27314201685107936,0.2202129714675064
2019-05-30 10:30:00+00:00,-0.0023005429281310885,-0.0032177990254664834,0.001477923517458013,50.296413523255154,19.71898590814315,-0.43108165139036947,0.22065251544292944
2019-05-30 10:45:00+00:00,-0.0026747832503228874,-0.004969172724763049,-0.00018492834026828664,47.30783221389376,19.74777404429509,-0.5282610256848143,0.22268749475374325
2019-05-30 11:00:00+00:00,-0.0019421067233884592,-0.004611695259177262,-0.005345622119815707,45.28153192983698,19.557522588224877,-0.5570041099120029,0.22003017802737923
2019-05-30 11:15:00+00:00,0.00018532246108216022,-0.00175714417830386,-0.0076307805461064415,45.51269058579756,19.301344964845672,-0.6053294215278427,0.21987353321436653
2019-05-30 11:30:00+00:00,-0.0013896609227347367,-0.0012045959970348186,-0.008097911107021183,44.06083455770737,18.995908384205435,-0.6028498911175432,0.2181588395946783
2019-05-30 11:45:00+00:00,-0.0015771407366175216,-0.0029646099685010086,-0.007378712414683575,42.4642018960829,18.642426391827847,-0.49658343728131654,0.20194981645493118
2019-05-30 12:00:00+00:00,0.0,-0.0015771407366175216,-0.004716544899657782,42.4642018960829,18.526342674496533,-0.38307950964140264,0.20130945223968116
2019-05-30 12:15:00+00:00,-0.0015796320386545215,-0.0015796320386545215,-0.004355077835433652,40.86263409926998,18.337565478851143,-0.3139641649891674,0.19314741291255283
2019-05-30 12:30:00+00:00,-0.00018613308515580407,-0.0017654711020256286,-0.004724847137298371,40.674934374332,18.11697532280365,-0.2441668084922944,0.19314952225720186
2019-05-30 12:45:00+00:00,0.0028855999255328335,0.0026989297347603802,-0.0004638649225346958,44.76488072289848,18.272372619123782,-0.20664904366676629,0.20172248749633542
2019-05-30 13:00:00+00:00,0.0013922405791721992,0.004281857954016477,0.002508827355510057,46.61690237165704,18.42179309635468,-0.14384555502359647,0.2027202738998346
2019-05-30 13:15:00+00:00,0.00018537399202878113,0.0015778726563950851,0.002694666418881164,46.863956464331345,18.592049273478654,-0.1843958103859359,0.19226857287671087
2019-05-30 13:30:00+00:00,-0.0008340283569642226,-0.0006488089721012891,0.0034434620753838185,45.87045797448503,18.661682650000024,-0.29069828701226985,0.19121717352900824
2019-05-30 13:45:00+00:00,-0.0024114264514931705,-0.0032434436104160635,0.0012100902913525502,43.123770991600814,18.560618907526013,-0.35052397235654653,0.1944786559526151
2019-05-30 14:00:00+00:00,0.00027891409445901516,-0.0021331849378593004,-0.0013922405791719772,43.529539806078525,18.430014562945818,-0.3833924091329471,0.19338510587481808
2019-05-30 14:15:00+00:00,-0.0019518542615485357,-0.0016734845667535359,-0.004727036796737472,41.380356403125106,18.655957955168308,-0.3754912155441465,0.19667780504372415
2019-05-30 14:30:00+00:00,-0.004004470106165003,-0.0059485082256715005,-0.008896302474284079,37.44351012608328,18.535934860688,-0.2783133087311604,0.20943483309552743
2019-05-30 14:45:00+00:00,-0.002711547452080465,-0.006705159247532122,-0.010758671860508273,35.10122689843844,18.185280364108145,0.05246002963032119,0.2025317817610328
2019-05-30 15:00:00+00:00,0.0013125820363772966,-0.0014025245441795509,-0.007065823726292386,37.077434883565004,17.812217405028335,0.2650083390219546,0.20256118057109831
2019-05-30 15:15:00+00:00,-0.0005617977528089568,0.0007500468779297886,-0.007900362487220036,36.580948119929644,17.416815885126734,0.409724729824066,0.20174043585927479
2019-05-30 15:30:00+00:00,0.0006557991380926609,9.36329588014928e-05,-0.005308251070962888,37.59485603219194,17.075224047327342,0.5105294180035258,0.1927357369306735
2019-05-30 15:45:00+00:00,0.0023406048122835976,0.0029979389169947357,0.001028517999065004,41.0928730405932,16.940633532583718,0.5642574796429916,0.1887213604597489
2019-05-30 16:00:00+00:00,0.0001868111339435874,0.0025278531972661167,0.00393774610913189,41.36631931534527,16.811219576099464,0.5938870644961664,0.1886936632113924
2019-05-31 09:45:00+00:00,-0.013914830033619707,-0.01373061834485334,-0.011329588014981185,30.423986844685686,16.855749590963462,0.7633383685555092,0.3148282164853622
2019-05-31 10:00:00+00:00,0.0035988256463679313,-0.01036608143444151,-0.0072137905190181595,34.985450817783565,16.853154977714986,0.8285515269223487,0.3205082108811361
2019-05-31 10:15:00+00:00,-0.0003774653203736378,0.0032200018941188624,-0.008238928939237833,34.73614291984602,16.689660598577834,0.865054390794848,0.32073722649782765
2019-05-31 10:30:00+00:00,0.0004720098178041532,9.436633009340945e-05,-0.010087801232953497,35.33518858527965,16.53245446479211,0.8789632871280727,0.320768894874377
2019-05-31 10:45:00+00:00,-0.002075863370447295,-0.0016048333805342985,-0.012327231976092534,33.91085426396671,16.44771910649412,0.893309008001334,0.31963410707043516
2019-05-31 11:00:00+00:00,0.0017965204236005672,-0.0002830722777882322,0.003409413770243397,36.22001004167964,16.392083269877926,0.8877284257956927,0.32290357471866127
2019-05-31 11:15:00+00:00,0.0029259084473809427,0.0047276853252646855,0.002736623572709318,39.789737395262634,15.794264773536112,0.8630958856222528,0.33030852625797075
2019-05-31 11:30:00+00:00,0.0022586109542630517,0.0051911278905143465,0.005380911922967968,42.38607378197452,15.219439296284367,0.8226568289676163,0.3345324793183937
2019-05-31 11:45:00+00:00,-0.0009389671361501595,0.0013175230566535578,0.003963011889035695,41.60858262507316,14.701212824455421,0.795086853100738,0.3339117060526919
2019-05-31 12:00:00+00:00,-0.0004699248120302313,-0.0014084507042253502,0.0055786686838124044,41.215453074127204,14.16044101376849,0.7726683416393413,0.33379511192029976
2019-05-31 12:15:00+00:00,0.0015044663845793504,0.0010338345864662202,0.005285512033978312,43.007517666679995,13.622111480536763,0.7407144863694904,0.3351015694718947
2019-05-31 12:30:00+00:00,-0.0008449910806497263,0.0006582040432534519,0.0015057406361753678,42.25396464687091,13.104486929352408,0.7170300844886992,0.33523557758009304
2019-05-31 12:45:00+00:00,-0.0009396729937982684,-0.0017838700591494838,-0.0016901408450704647,41.41542729146137,12.672082736011053,0.6945469540883906,0.32876334259489715
2019-05-31 13:00:00+00:00,-0.0015048908954100604,-0.002443149783875276,-0.0022556390977443996,40.091510498424825,12.385284276928019,0.6780632177697176,0.32698084596812055
2019-05-31 13:15:00+00:00,-0.0005651846269781879,-0.0020692249811888885,-0.002350728725905027,39.597842836735595,12.109516527809717,0.6610359153936813,0.3265757872391548
2019-05-31 13:30:00+00:00,0.001790763430725928,0.0012245666917860554,-0.0020655337526992446,41.951842462952,11.79267795680049,0.621370924590265,0.33000774253441867
2019-05-31 13:45:00+00:00,0.00028224668360143923,0.0020735155513667003,-0.0009396729937982684,42.32096699076166,11.428294328952216,0.5693194885650646,0.3281344664533772
2019-05-31 14:00:00+00:00,0.0002821670428894141,0.0005644933672028785,0.0002821670428894141,42.69990931396326,11.085213568836062,0.49800159582415054,0.328137326066632
2019-05-31 14:15:00+00:00,-0.003479078514339373,-0.003197893152746323,-0.0016955538809343418,39.381279760993706,11.0380230494858,0.45681130693559124,0.33229155088195983
2019-05-31 14:30:00+00:00,-0.001415361388941383,-0.004889515749882389,-0.0025447690857680616,38.13176440147902,10.871488686057717,0.44501962604630235,0.3251702481154399
2019-05-31 14:45:00+00:00,0.0016063498062930393,0.00018871485185889547,-0.002728384608147616,40.362074761391966,10.592511627174174,0.43644219539132706,0.32391465329130414
2019-05-31 15:00:00+00:00,0.0014150943396227245,0.003023717282434113,-0.0015989465763730504,42.271759037848334,10.478088669189285,0.3819002706059797,0.32411656699682584
2019-05-31 15:15:00+00:00,-0.0004710315591145431,0.0009433962264151496,-0.002350728725905027,41.80766388608719,10.344897924778504,0.3284237591654472,0.32408425151396114
2019-05-31 15:30:00+00:00,-0.0010367577756833501,-0.0015073009891664046,9.435742592933671e-05,40.783206035864346,10.153911837529146,0.26095173686883594,0.323941611480846
2019-05-31 15:45:00+00:00,-0.00047174261722804367,-0.0015080113100848225,0.0010394028158366986,40.316193675478786,9.946251618931786,0.11769822906864892,0.3194663590643837
2019-05-31 16:00:00+00:00,-9.439305267122666e-05,-0.0005660911406735192,-0.0006603773584904493,40.22039562196792,9.73831780382726,-0.14118679264558345,0.31930749847243517
2019-06-03 09:45:00+00:00,0.0016992353440949959,0.0016046818954125186,-0.0003768252472916567,42.76625926076682,9.597403219000146,0.059984902843225274,0.16443039659543138
2019-06-03 10:00:00+00:00,-0.001225143718782351,0.0004720098178041532,-0.0011310084825635336,41.440657933798306,9.461908425897153,0.17145626354091226,0.1511071832303365
2019-06-03 10:15:00+00:00,0.0022645782223060795,0.001036660069738904,0.0021700160392490453,44.72995224724705,9.273295205148724,0.2552007565748039,0.15719520549046045
2019-06-03 10:30:00+00:00,0.004895499905855694,0.0071711643706358075,0.007551444213705905,50.93955058360138,9.168835017383474,0.20249450867188254,0.18311258409322534
2019-06-03 10:45:00+00:00,-0.0006557991380925499,0.004236490303144436,0.0069857453035022665,50.150728695809036,8.905239214490743,0.29393278111823945,0.17785793766752703
2019-06-03 11:00:00+00:00,-9.374707040410435e-05,-0.0007494847292486284,0.0051833003486947415,50.0356119885085,8.651781711709273,0.3438095543142298,0.1754755952752076
2019-06-03 11:15:00+00:00,-0.004687792987061679,-0.004781100590606546,0.0016984336667293931,44.70013457861732,8.50745776370276,0.3710022415578335,0.19193622089143247
2019-06-03 11:30:00+00:00,0.0013187641296157349,-0.003375210950684382,0.0007531538316700725,46.3655748810896,8.43278844620659,0.30732583847149586,0.1882953907581974
2019-06-03 11:45:00+00:00,-0.0008466603951081675,0.00047098718914839743,-0.004965336331272274,45.45042803705848,8.328055431396526,0.27457133714478915,0.18813374387664333
2019-06-03 12:00:00+00:00,-0.0029187458808020983,-0.0037629350893696456,-0.007218524421111816,42.44908268449307,8.421000852832009,0.2766925635300114,0.19618872252948225
2019-06-03 12:15:00+00:00,-0.0008498583569405138,-0.003766123717164005,-0.00796924807800481,41.619257753062335,8.632928800439991,0.22115954815968217,0.19360944480691067
2019-06-03 12:30:00+00:00,0.0,-0.0008498583569405138,-0.003296910324039115,41.619257753062335,8.836705673139974,0.1841917106766095,0.19328276323841362
2019-06-03 12:45:00+00:00,0.0010395992817313626,0.0010395992817313626,-0.0035747883349012133,43.08995722142504,9.088497815749625,0.16444990102655488,0.1942273777198589
2019-06-03 13:00:00+00:00,-0.0005664652567975992,0.00047254512805960935,-0.0032953582525185876,42.48285761734966,9.235356152887345,0.21901694742891728,0.19245952464972407
2019-06-03 13:15:00+00:00,0.0019837521254486568,0.001416163141993776,0.0016052880075541065,45.28869406069524,9.449705200978336,0.27654018168196165,0.19648244940530854
2019-06-03 13:30:00+00:00,0.0002828320920147398,0.002267145286227068,0.0027407617427464004,45.68237206102888,9.246426063686997,0.2466022945862991,0.19315473865589153
2019-06-03 13:45:00+00:00,9.425070688040549e-05,0.00037710945601965307,0.0028352707683583223,45.817527947367175,9.165742997988984,0.18892992247163878,0.1930539253650872
