Date,BAC Close,Observed JPM,Predicted JPM_BAC
02-01-2019,24.95999908,99.30999756,94.391072028297
03-01-2019,24.55999947,97.11000061,92.70439603618144
04-01-2019,25.57999992,100.69000240000001,97.00542590709075
07-01-2019,25.55999947,100.7600021,96.9210901277471
08-01-2019,25.51000023,100.5699997,96.71025862785633
09-01-2019,25.76000023,100.4000015,97.76443215074774
10-01-2019,25.72999954,100.38999940000001,97.63792841848186
11-01-2019,26.03000069,99.91000366,98.90294149514976
14-01-2019,26.37000084,100.94000240000001,100.33661811878619
15-01-2019,26.54999924,101.6800003,101.09561630855747
16-01-2019,28.45000076,102.5,109.10734149190726
17-01-2019,28.98999977,102.91999820000001,111.38435212682558
18-01-2019,29.29999924,104.5899963,112.69152506036305
22-01-2019,29.09000015,102.94000240000001,111.8060231383259
23-01-2019,28.92000008,102.6800003,111.08918484759114
24-01-2019,29.07999992,102.7399979,111.76385522757059
25-01-2019,29.57999992,103.38999940000001,113.87220227335342
28-01-2019,29.62999916,103.8799973,114.08303377324421
29-01-2019,29.38999939,104.16999820000001,113.07102816110809
30-01-2019,29.06999969,104.4100037,111.72168731681529
31-01-2019,28.46999931,103.5,109.19166925953213
01-02-2019,28.37999916,103.8799973,108.81216615878712
04-02-2019,28.87999916,104.25,110.92051320456996
05-02-2019,28.78000069,103.79000090000001,110.49885024695536
06-02-2019,28.72999954,103.7399979,110.28801069317886
07-02-2019,28.23999977,102.3799973,108.22183155815132
08-02-2019,28.29000092,101.36000059999999,108.43267111192782
11-02-2019,28.40999985,100.8799973,108.93866989105301
12-02-2019,28.69000053,102.5999985,110.11934710404337
13-02-2019,28.70000076,103.0899963,110.16151501479868
14-02-2019,28.38999939,102.41999820000001,108.85433406954242
15-02-2019,29.11000061,105.5500031,111.89035895983649
19-02-2019,29.12999916,105.1800003,111.97468672746137
20-02-2019,29.40999985,105.6900024,113.15536398261867
21-02-2019,29.29000092,105.47000120000001,112.64936520349347
22-02-2019,29.07999992,105.0,111.76385522757059
25-02-2019,29.27000046,106.09999850000001,112.56502938198287
26-02-2019,29.29000092,105.29000090000001,112.64936520349347
27-02-2019,29.53000069,105.1600037,113.6613708156296
28-02-2019,29.07999992,104.36000059999999,111.76385522757059
01-03-2019,29.30999947,104.4300003,112.73369297111836
04-03-2019,29.03000069,104.19000240000001,111.55302376984676
05-03-2019,29.07999992,104.11000059999999,111.76385522757059
06-03-2019,28.84000015,103.7200012,110.75184961543448
07-03-2019,28.54999924,102.9700012,109.5290044916888
08-03-2019,28.64999962,103.0100021,109.95067550318913
11-03-2019,28.94000053,104.3499985,111.17352062693479
12-03-2019,28.94000053,104.04000090000001,111.17352062693479
13-03-2019,29.29000092,104.38999940000001,112.64936520349347
14-03-2019,29.45999908,105.3399963,113.36619544034251
15-03-2019,29.29999924,106.5500031,112.69152506036305
18-03-2019,29.81999969,107.1900024,114.88420788548954
19-03-2019,29.64999962,106.8000031,114.16736959475479
20-03-2019,28.63999939,104.51999659999998,109.90850759243384
21-03-2019,28.18000031,102.8700027,107.96883218967218
22-03-2019,27.01000023,99.76000214,103.03529976520483
25-03-2019,26.84000015,98.93000031,102.31846143230315
26-03-2019,27.20999908,99.91999817,103.87863373431976
27-03-2019,27.03000069,99.58000183,103.11963558671543
28-03-2019,27.32999992,100.70999909999999,104.38464056733068
29-03-2019,27.59000015,101.23000340000002,105.48098200097739
01-04-2019,28.54000092,104.63999940000001,109.48684463481924
02-04-2019,28.87000084,105.1399994,110.87835334770037
