Date,GOOG,GOOGL,AMZN,MA,BA,C,ABT,CRM,COST,ACN,AVGO,MMM,CVS,FIS,SYK,MDLZ,CI,CME,ISRG,COP
2018-01-02,1065.0,1073.2099609375,1189.010009765625,148.90673828125,282.8863830566406,66.45690155029297,55.270179748535156,104.41000366210938,177.2626190185547,145.51039123535156,231.2581329345703,209.1983642578125,65.70343017578125,90.13803100585938,151.7808380126953,39.286922454833984,200.7668914794922,131.8674774169922,375.25,49.867218017578125
2018-01-03,1082.47998046875,1091.52001953125,1204.199951171875,150.77899169921875,283.8012390136719,66.66244506835938,55.39238739013672,105.29000091552734,179.38992309570312,146.1819305419922,233.78717041015625,209.18946838378906,65.41744232177734,90.6671371459961,152.63636779785156,39.44440460205078,204.13682556152344,133.98045349121094,383.82000732421875,50.786685943603516
2018-01-04,1086.4000244140625,1095.760009765625,1209.5899658203125,152.72964477539062,282.7243957519531,67.48468780517578,55.29837417602539,106.68000030517578,177.99685668945312,147.912841796875,233.86508178710938,211.92388916015625,67.14226531982422,91.34052276611328,152.58828735351562,39.53704071044922,205.20726013183594,135.41029357910156,376.9200134277344,51.372623443603516
2018-01-05,1102.22998046875,1110.2900390625,1229.1400146484375,155.89576721191406,294.3222961425781,67.39529418945312,55.458187103271484,108.0999984741211,176.72608947753906,149.13299560546875,235.25083923339844,213.57516479492188,70.10926055908203,91.8599853515625,154.8184051513672,40.046531677246094,208.68617248535156,136.29371643066406,379.010009765625,51.27347183227539
2018-01-08,1106.93994140625,1114.2099609375,1246.8699951171875,156.3670196533203,295.57073974609375,66.60881805419922,55.29837417602539,108.86000061035156,177.41322326660156,150.3247833251953,235.81382751464844,212.88267517089844,69.50157165527344,92.09086608886719,156.93312072753906,39.84273910522461,206.37681579589844,138.18807983398438,391.8599853515625,51.79629135131836
2018-01-09,1106.260009765625,1112.7900390625,1252.699951171875,156.5928192138672,303.4615173339844,67.30592346191406,55.39238739013672,109.1500015258789,175.351806640625,150.82606506347656,232.548583984375,214.20545959472656,69.4300765991211,92.38909149169922,154.5492401123047,39.82421875,206.02989196777344,139.00775146484375,397.6000061035156,52.21996307373047
2018-01-10,1102.6099853515625,1110.1400146484375,1254.3299560546875,156.94625854492188,305.20550537109375,67.60980224609375,55.30778121948242,108.80000305175781,174.5328826904297,150.29640197753906,227.63783264160156,214.0811767578125,69.2066650390625,93.58195495605469,153.35723876953125,39.490726470947266,205.25682067871094,139.25363159179688,423.760009765625,51.967567443847656
2018-01-11,1105.52001953125,1112.050048828125,1276.6800537109375,157.9869384765625,312.6960144042969,67.52935791015625,55.68562698364258,109.0999984741211,178.26040649414062,150.4950408935547,228.21810913085938,215.11990356445312,70.6186752319336,94.06293487548828,152.45372009277344,39.37956237792969,209.02316284179688,139.1716766357422,421.3699951171875,53.34675979614258
2018-01-12,1122.260009765625,1130.6500244140625,1305.199951171875,159.37124633789062,320.40570068359375,68.67330169677734,55.58171081542969,110.23999786376953,180.57594299316406,151.44085693359375,228.90235900878906,217.0375213623047,70.40419006347656,93.89939880371094,152.09805297851562,39.342506408691406,211.50103759765625,139.09884643554688,419.0400085449219,54.131004333496094
2018-01-16,1121.760009765625,1130.699951171875,1304.8599853515625,159.33193969726562,319.40509033203125,68.91461181640625,55.20386505126953,108.88999938964844,180.28414916992188,149.4072723388672,228.00157165527344,217.2772216796875,70.9940185546875,93.47612762451172,153.2899932861328,39.82421875,212.84898376464844,138.6161346435547,420.07000732421875,53.0402717590332
2018-01-17,1131.97998046875,1139.0999755859375,1295.0,161.32493591308594,334.5100402832031,69.23635864257812,55.72341537475586,110.04000091552734,180.99951171875,151.5354766845703,230.2187957763672,220.26907348632812,71.04764556884766,93.88978576660156,154.0590057373047,40.63014602661133,218.40931701660156,137.93309020996094,431.1000061035156,53.95973205566406
2018-01-18,1129.7900390625,1135.969970703125,1293.3199462890625,162.46380615234375,324.1700744628906,69.16486358642578,55.79898452758789,111.7699966430664,180.26531982421875,152.2259521484375,233.67457580566406,218.31593322753906,70.91358184814453,93.83206176757812,154.068603515625,40.463401794433594,217.71556091308594,138.62525939941406,432.07000732421875,53.86958312988281
2018-01-19,1137.510009765625,1143.5,1294.5799560546875,163.78919982910156,321.85430908203125,69.97815704345703,56.02568817138672,111.93000030517578,180.99951171875,152.9920654296875,230.72119140625,220.33120727539062,71.36936950683594,94.72669982910156,155.0298309326172,40.8895263671875,218.20120239257812,140.51048278808594,433.2300109863281,53.860572814941406
2018-01-22,1155.81005859375,1164.1600341796875,1327.31005859375,165.21279907226562,322.111572265625,70.23731994628906,56.271297454833984,112.88999938964844,182.966796875,152.68939208984375,227.0142059326172,219.54994201660156,72.34347534179688,95.41934204101562,156.22178649902344,41.019222259521484,218.79586791992188,141.57608032226562,433.94000244140625,54.68989181518555
2018-01-23,1169.969970703125,1176.1700439453125,1362.5400390625,164.14268493652344,319.8148498535156,70.20156860351562,55.95012664794922,113.23999786376953,182.06320190429688,152.169189453125,227.6984100341797,218.67103576660156,72.33448028564453,95.36163330078125,155.66427612304688,41.2230110168457,217.84439086914062,140.48318481445312,439.54998779296875,54.509605407714844
2018-01-24,1164.239990234375,1171.2900390625,1357.510009765625,163.9658966064453,318.9571838378906,71.00591278076172,58.302242279052734,112.8499984741211,182.83505249023438,151.9043426513672,222.46719360351562,219.89620971679688,72.76610565185547,96.73726654052734,158.11546325683594,41.3063850402832,219.04367065429688,141.15716552734375,437.4800109863281,54.52763366699219
